doc_id,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6
substack:letters-replies-7,0.13045052531243556,0.1136231681892565,0.26429560077109243,0.15536327373160508,0.15671823109013475,0.1795492009054757
substack:isaac-newton,0.16779434630326065,0.17017371935030232,0.11591055962762216,0.13442297157525374,0.30433926344120593,0.10735913970235511
substack:life-after-vandamme-academy,0.179043348529894,0.19813490640323678,0.2386715266707671,0.1041846219135819,0.20400274978607735,0.07596284669644297
substack:rational-science-versus-sacrificial-politics,0.1926685151623199,0.099814942320672,0.41276938976651223,0.08397684663157601,0.14296921917772915,0.06780108694119065
substack:ayn-rand-atlas-shrugged,0.07604245374989861,0.06353847979366292,0.6247438929958146,0.07046913070745194,0.04007402145144139,0.12513202130173048
substack:from-the-editor-13,0.14013963396611465,0.12161576186523526,0.37709799387572834,0.11651446639230885,0.08952278956567103,0.1551093543349419
substack:religion-vs-subjectivism,0.09270273986383482,0.1614132280004892,0.05730645843800848,0.31122289686442106,0.1827768077246797,0.1945778691085668
substack:does-my-child-know-grammar-better,0.11939932721135706,0.18711754178557297,0.2958221930663648,0.13657605862165562,0.10365645444426362,0.15742842487078612
substack:a-tea-party-without-egoism-is-like,0.11014723997404773,0.14151311098884456,0.18302400745714725,0.17898818311627074,0.15629494957846635,0.23003250888522336
substack:the-seals-have-done-what-god-could,0.1240458059598866,0.14963242785796924,0.21074316674153182,0.1703979472898337,0.11655506033337758,0.22862559181740102
substack:a-snapshot-of-obamas-obscene-foreign,0.12574671191721276,0.0677888210559102,0.6066396841431334,0.06518288159779002,0.07291723789565563,0.061724663390297724
substack:help-fight-for-a-future-of-reason,0.08880107418134688,0.15994453102453274,0.11255190561268001,0.1954760380871418,0.08757864162557222,0.3556478094687263
substack:leftist-fantasy-vs-the-true-story,0.1596159225684642,0.080029814863726,0.5329816571360232,0.07576667308725965,0.08706487818578378,0.06454105415874328
substack:jonathan-hoenig-interview,0.09062376826298234,0.060563318170339726,0.6949269483444487,0.04753749392222986,0.05545269944698385,0.050895771853015394
substack:from-the-editor-14,0.12918116741536093,0.12258595558278396,0.44303742757526093,0.10768163653905682,0.08632560948088347,0.11118820340665408
substack:is-ought-gap,0.0979200500147667,0.17207190627547223,0.03661075669344688,0.2782227788857322,0.22507058824291978,0.190103919887662
substack:original-alternative-energy-market,0.21335599818930276,0.1625387440730731,0.22739283416075695,0.11526590629793226,0.1996876162960444,0.08175890098289046
substack:nyt-article-on-bb-and-t-john-allison,0.11540640771228104,0.17646658260443956,0.21845738164240894,0.181829525481927,0.1358125315987568,0.1720275709601868
substack:the-health-care-bill-what-hr-3200,0.07946180869890943,0.07022401178785377,0.5540126031912059,0.11890029902417557,0.04834921814557839,0.12905205915227685
substack:from-the-editor-fall-2009,0.09643250663154207,0.1078228163062676,0.3355874377880755,0.19736531145155184,0.09625021820990019,0.166541709612663
substack:the-whole-foods-alternative-to-obamacare,0.13394035651438915,0.14278052197471316,0.29920323656183473,0.14550526554443835,0.134114885898495,0.14445573350612959
substack:how-morality-is-grounded-in-reality,0.04585233833588595,0.110361223252137,0.008564941278404374,0.29748079788186077,0.12249480637938037,0.4152458928723316
substack:creed-of-sacrifice-vs-land-of-liberty,0.11642903712136095,0.10721885023682394,0.16796659434187836,0.24602771005046117,0.1740278560699268,0.18832995217954876
substack:letters-replies-9,0.2561884478626192,0.12252153456638996,0.3576984831991864,0.07679917541131402,0.12888152213444248,0.05791083682604794
substack:rise-of-american-big-government,0.09736381465501195,0.08089025382749455,0.512480875876111,0.10642115068583569,0.07080588909602532,0.1320380158595214
substack:an-unwinnable-war,0.24895423938230837,0.1321693903117856,0.2930857890141708,0.08677570066346241,0.15946737303158312,0.07954750759668973
substack:snowball-warren-buffett,0.16338644582354245,0.17632009871747623,0.2573005166149774,0.12990177112265028,0.14541941114778434,0.12767175657356933
substack:net-neutrality-means-an-unfree-slow,0.21638154707914656,0.16514226686130576,0.2081924074582035,0.11123317025047054,0.21762915278493827,0.08142145556593548
substack:praying-wont-make-it-so,0.21197029843814305,0.14362622310678502,0.20499836081120087,0.12043938102442696,0.22317022682936358,0.09579550979008071
substack:the-best-option-for-the-public,0.15350592408390065,0.09359919099710634,0.47053549229318875,0.0949129914186031,0.0943655492302189,0.09308085197698233
substack:lin-gilberts-rationing-story,0.13550194798240167,0.19375008197060462,0.2045949507571652,0.1559782958713884,0.14790614240446448,0.16226858101397554
substack:from-the-editor-winter-20092010,0.1558907121619412,0.13461671581824564,0.3665671718608624,0.12264202352762887,0.11295208018643074,0.10733129644489102
substack:objective-moral-values,0.0574483821931218,0.1759441238752466,0.01246579120713055,0.296540977975991,0.19368289791215845,0.26391782683635157
substack:letters-replies-10,0.12505061499584777,0.12464568297055167,0.27926491738625003,0.16583449220190208,0.13945028245588872,0.16575400998955972
substack:ca-coastal-commission,0.0909811377053568,0.06180756176226229,0.6020926954230971,0.07401792894414225,0.05286533044458579,0.11823534572055583
substack:christopher-horner,0.13302813697403948,0.11634821870590664,0.34173671233391206,0.13365931971806075,0.11852354476938398,0.15670406749869717
substack:the-missile-gap-and-the-morality,0.17673219065537835,0.15067739224508658,0.2518138578431541,0.1113969060053439,0.22571189904591388,0.08366775420512315
substack:force-versus-egoism-and-happiness,0.09313212691396021,0.12185477854645055,0.17624962694866872,0.18074800198302793,0.08028389617749997,0.34773156943039263
substack:virtue-and-the-realization-of-human,0.0868526185048611,0.08513146314655975,0.4652465213106975,0.10575511306598032,0.05450432014932017,0.20250996382258118
substack:from-the-editor-spring-2010,0.12166537283886504,0.11955204321727188,0.4066309115749854,0.1397837882723887,0.06956880267022263,0.14279908142626657
substack:letters-and-replies,0.1152266339144129,0.09791668653252371,0.4829771776668339,0.10124049888569191,0.0975043677894784,0.1051346352110592
substack:edward-cline,0.2263510560154192,0.22055244684409267,0.2607654179944643,0.06183245539299127,0.1753965922160571,0.05510203153697535
substack:george-and-sharlee-mcnamee-fight,0.1237115969724042,0.11712823121957369,0.20822933263771953,0.18002662490395033,0.1730544478838482,0.197849766382504
substack:evolutionary-theory-and-the-global,0.16378059127385383,0.13263518620285467,0.4161774652641935,0.06797666530446769,0.16185378729624325,0.057576304658387235
substack:periodic-table-of-the-sciences,0.20679473508789595,0.18814133410919276,0.169965385986472,0.08332457415562286,0.2920165959044052,0.0597573747564112
substack:dr-hendricks-from-atlas-shrugged,0.09675985608508621,0.1750633938293746,0.12098169527113152,0.19564123041110085,0.1127339788467411,0.2988198455565657
substack:more-clarity-from-the-obama-administration,0.12582077954098983,0.09289600097082529,0.4649666744122024,0.11389281324291244,0.0979150776269919,0.10450865420607786
substack:the-government-may-soon-control-all,0.1840044309361832,0.1530150038588595,0.15255765900358811,0.19868005862454607,0.19098175693331929,0.1207610906435039
substack:everybody-draw-mohammed-day,0.19085314728943112,0.11172937399545411,0.354379088457816,0.11686329247177141,0.1204636594691329,0.10571143831639428
substack:obama-on-american-democracy,0.16721322140846823,0.10479673946848372,0.3979926334719614,0.10280761840108069,0.1266397427093594,0.10055004454064652
substack:from-the-editor-summer-2010,0.11296246993518458,0.17344264624106379,0.38234752495987173,0.12618165927559483,0.10205435349936294,0.1030113460889221
substack:israel-america-gaza-flotilla,0.06462278928793416,0.04186215334514309,0.7419920489560125,0.05005073870829829,0.030588937075187048,0.070883332627425
substack:today-is-everybody-draw-mohammed,0.1513727168308792,0.1373027122772971,0.25092716138425813,0.16781488786008897,0.13521223644438057,0.15737028520309598
substack:dae-jang-geum,0.2084445236404579,0.27409935932050133,0.13413732348106813,0.12784496642673066,0.151714054505694,0.1037597726255479
substack:anthony-daniels-ayn-rand,0.1737309990560809,0.12964616406406462,0.319777041653557,0.11970799810412075,0.129307176945597,0.12783062017657992
substack:the-right-to-immigrate-and-the-legitimacy,0.10334360994335641,0.11469314865115773,0.1712257944237242,0.2614112551584333,0.1604508869220468,0.18887530490128154
substack:john-allison,0.1401975511938787,0.07022664199008223,0.641029107324825,0.04286413738039123,0.06864609527176266,0.03703646683906018
